Date,Open,High,Low,Close,Volume,Adjusted Close
1/31/2012,5125.25,5215.399902,5120.149902,5199.25,0,5199.25
1/30/2012,5163.549805,5166.149902,5076.700195,5087.299805,0,5087.299805
1/27/2012,5158.299805,5217,5158.299805,5204.700195,0,5204.700195
1/25/2012,5151.5,5174.149902,5130.25,5158.299805,0,5158.299805
1/24/2012,5064.799805,5141.049805,5049.799805,5127.350098,0,5127.350098
1/23/2012,5025.350098,5059.549805,5021.350098,5046.25,0,5046.25
1/20/2012,5044.850098,5064.149902,5004.299805,5048.600098,0,5048.600098
1/19/2012,4995,5023.799805,4991.399902,5018.399902,0,5018.399902
1/18/2012,4977.75,4980.649902,4931.049805,4955.799805,0,4955.799805
1/17/2012,4904.5,4975.549805,4904,4967.299805,0,4967.299805
1/16/2012,4844,4880.799805,4827.049805,4873.899902,0,4873.899902
1/13/2012,4861.950195,4898.850098,4834.200195,4866,0,4866
1/12/2012,4840.950195,4869.200195,4803.899902,4831.25,0,4831.25
1/11/2012,4863.149902,4877.200195,4841.600098,4860.950195,0,4860.950195
1/10/2012,4771.850098,4855.899902,4768.25,4849.549805,0,4849.549805
1/9/2012,4747.549805,4758.700195,4695.450195,4742.799805,0,4742.799805
1/7/2012,null,null,null,null,null,null
1/6/2012,4724.149902,4794.899902,4686.850098,4754.100098,0,4754.100098
1/5/2012,4749,4779.799805,4730.149902,4749.950195,0,4749.950195
1/4/2012,4774.950195,4782.850098,4728.850098,4749.649902,0,4749.649902
1/3/2012,4675.799805,4773.100098,4675.799805,4765.299805,0,4765.299805
1/2/2012,null,null,null,null,null,null
12/30/2011,4659.950195,4690.450195,4608.899902,4624.299805,0,4624.299805
12/29/2011,4681.149902,4701.799805,4639.049805,4646.25,0,4646.25
12/28/2011,4756.200195,4756.200195,4685.649902,4705.799805,0,4705.799805
12/27/2011,4780.200195,4800.5,4723.649902,4750.5,0,4750.5
12/26/2011,null,null,null,null,null,null
12/23/2011,4763.200195,4763.450195,4693.200195,4714,0,4714
12/22/2011,4636.899902,4740.600098,4632.950195,4733.850098,0,4733.850098
12/21/2011,4636.450195,4707.350098,4601.950195,4693.149902,0,4693.149902
12/20/2011,4635.799805,4637.25,4531.149902,4544.200195,0,4544.200195
12/19/2011,4623.149902,4623.149902,4555.899902,4613.100098,0,4613.100098
12/16/2011,4752.5,4818.850098,4628.200195,4651.600098,0,4651.600098
12/15/2011,4712.799805,4768.649902,4673.850098,4746.350098,0,4746.350098
12/14/2011,4788.700195,4839.549805,4750.399902,4763.25,0,4763.25
12/13/2011,4733.600098,4824.700195,4728.5,4800.600098,0,4800.600098
12/12/2011,4906.850098,4910.25,4755.549805,4764.600098,0,4764.600098
12/9/2011,4870.75,4918.350098,4841.75,4866.700195,0,4866.700195
12/8/2011,5037.399902,5049.049805,4921.450195,4943.649902,0,4943.649902
12/7/2011,5039.149902,5099.25,5032.25,5062.600098,0,5062.600098
12/5/2011,5036.5,5055.399902,5002.549805,5039.149902,0,5039.149902
12/2/2011,4940.850098,5062.549805,4918.399902,5050.149902,0,5050.149902
12/1/2011,4970.850098,5011.899902,4916.700195,4936.850098,0,4936.850098
11/30/2011,4766.149902,4851.549805,4754.799805,4832.049805,0,4832.049805
11/29/2011,4864.200195,4866.100098,4787.100098,4805.100098,0,4805.100098
11/28/2011,4769.299805,4859.100098,4766.399902,4851.299805,0,4851.299805
11/25/2011,4731.299805,4767.299805,4693.100098,4710.049805,0,4710.049805
11/24/2011,null,null,null,null,null,null
11/23/2011,4779.5,4779.5,4640.950195,4706.450195,0,4706.450195
11/22/2011,4794.850098,4854,4782.549805,4812.350098,0,4812.350098
11/21/2011,4873.799805,4873.799805,4764.799805,4778.350098,0,4778.350098
11/18/2011,4899.149902,4915.899902,4837.950195,4905.799805,0,4905.799805
11/17/2011,5027.100098,5036.799805,4919.450195,4934.75,0,4934.75
11/16/2011,5059.100098,5065.200195,4989.5,5030.450195,0,5030.450195
11/15/2011,5131.200195,5158.75,5052.850098,5068.5,0,5068.5
11/14/2011,5217.350098,5228.899902,5140.549805,5148.350098,0,5148.350098
11/11/2011,5221.049805,5221.049805,5142.25,5168.850098,0,5168.850098
11/9/2011,5309.700195,5317.5,5211.75,5221.049805,0,5221.049805
11/8/2011,5284.200195,5304.25,5252,5289.350098,0,5289.350098
11/4/2011,5325.399902,5326.450195,5256.799805,5284.200195,0,5284.200195
11/3/2011,5241.549805,5281.600098,5201.850098,5265.75,0,5265.75
11/2/2011,5216.75,5300.100098,5204.950195,5258.450195,0,5258.450195
11/1/2011,5278.600098,5310.850098,5238.299805,5257.950195,0,5257.950195
10/31/2011,5358.899902,5360.25,5314.600098,5326.600098,0,5326.600098
10/28/2011,5214.950195,5399.700195,5196.149902,5360.700195,0,5360.700195
10/25/2011,5137.899902,5211,5085.549805,5191.600098,0,5191.600098
10/24/2011,5114.700195,5145.649902,5084.75,5098.350098,0,5098.350098
10/21/2011,5106.600098,5120.75,5037.950195,5049.950195,0,5049.950195
10/20/2011,5086.549805,5099,5033.950195,5091.899902,0,5091.899902
10/19/2011,5080.450195,5148.049805,5075.299805,5139.149902,0,5139.149902
10/18/2011,5049.450195,5057.5,5011.049805,5037.5,0,5037.5
10/17/2011,5156.200195,5160.200195,5084.5,5118.25,0,5118.25
10/14/2011,5057.350098,5141.399902,5056.600098,5132.299805,0,5132.299805
10/13/2011,5130.799805,5136.950195,5067.649902,5077.850098,0,5077.850098
10/12/2011,5011.200195,5109.799805,4997.649902,5099.399902,0,5099.399902
10/11/2011,5019.899902,5045.100098,4964,4974.350098,0,4974.350098
10/10/2011,4886.850098,4991.149902,4882.049805,4979.600098,0,4979.600098
10/7/2011,4751.299805,4922.600098,4751.299805,4888.049805,0,4888.049805
